,Diagnóstico principal (CIE10MC),Sexo,Motivo del alta,Total
390,"0400 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS E00-E89",Ambos sexos,total,95.934
391,"0400 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS E00-E89",Ambos sexos,curación o mejoría,85.154
392,"0400 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS E00-E89",Ambos sexos,traslado a otros centros,5.668
393,"0400 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS E00-E89",Ambos sexos,fallecimiento,3.855
394,"0400 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS E00-E89",Ambos sexos,otras causas,1.258
395,"0400 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS E00-E89",Hombres,total,41.757
396,"0400 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS E00-E89",Hombres,curación o mejoría,36.368
397,"0400 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS E00-E89",Hombres,traslado a otros centros,2.875
398,"0400 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS E00-E89",Hombres,fallecimiento,1.757
399,"0400 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS E00-E89",Hombres,otras causas,757
400,"0400 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS E00-E89",Mujeres,total,54.177
401,"0400 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS E00-E89",Mujeres,curación o mejoría,48.786
402,"0400 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS E00-E89",Mujeres,traslado a otros centros,2.793
403,"0400 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS E00-E89",Mujeres,fallecimiento,2.098
404,"0400 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS E00-E89",Mujeres,otras causas,501
1695,1410 Otros trastornos del sistema genitourinario Resto de N00-N99,Ambos sexos,total,40.356
1696,1410 Otros trastornos del sistema genitourinario Resto de N00-N99,Ambos sexos,curación o mejoría,39.153
1697,1410 Otros trastornos del sistema genitourinario Resto de N00-N99,Ambos sexos,traslado a otros centros,824
1698,1410 Otros trastornos del sistema genitourinario Resto de N00-N99,Ambos sexos,fallecimiento,107
1699,1410 Otros trastornos del sistema genitourinario Resto de N00-N99,Ambos sexos,otras causas,273
1700,1410 Otros trastornos del sistema genitourinario Resto de N00-N99,Hombres,total,5.834
1701,1410 Otros trastornos del sistema genitourinario Resto de N00-N99,Hombres,curación o mejoría,5.529
1702,1410 Otros trastornos del sistema genitourinario Resto de N00-N99,Hombres,traslado a otros centros,216
1703,1410 Otros trastornos del sistema genitourinario Resto de N00-N99,Hombres,fallecimiento,50
1704,1410 Otros trastornos del sistema genitourinario Resto de N00-N99,Hombres,otras causas,39
1705,1410 Otros trastornos del sistema genitourinario Resto de N00-N99,Mujeres,total,34.522
1706,1410 Otros trastornos del sistema genitourinario Resto de N00-N99,Mujeres,curación o mejoría,33.624
1707,1410 Otros trastornos del sistema genitourinario Resto de N00-N99,Mujeres,traslado a otros centros,607
1708,1410 Otros trastornos del sistema genitourinario Resto de N00-N99,Mujeres,fallecimiento,57
1709,1410 Otros trastornos del sistema genitourinario Resto de N00-N99,Mujeres,otras causas,234
