Diagnóstico principal (CIE10MC);Sexo;Motivo del alta;Total
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);Ambos sexos;total;4.751.829
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);Ambos sexos;curación o mejoría;4.181.592
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);Ambos sexos;traslado a otros centros;281.999
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);Ambos sexos;fallecimiento;226.359
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);Ambos sexos;otras causas;61.879
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);Hombres;total;2.301.073
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);Hombres;curación o mejoría;2.000.559
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);Hombres;traslado a otros centros;146.769
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);Hombres;fallecimiento;119.828
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);Hombres;otras causas;33.917
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);Mujeres;total;2.450.757
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);Mujeres;curación o mejoría;2.181.033
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);Mujeres;traslado a otros centros;135.230
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);Mujeres;fallecimiento;106.531
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);Mujeres;otras causas;27.962
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;Ambos sexos;total;292.475
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;Ambos sexos;curación o mejoría;222.156
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;Ambos sexos;traslado a otros centros;25.513
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;Ambos sexos;fallecimiento;39.696
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;Ambos sexos;otras causas;5.110
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;Hombres;total;159.364
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;Hombres;curación o mejoría;121.489
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;Hombres;traslado a otros centros;13.473
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;Hombres;fallecimiento;21.334
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;Hombres;otras causas;3.068
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;Mujeres;total;133.111
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;Mujeres;curación o mejoría;100.667
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;Mujeres;traslado a otros centros;12.041
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;Mujeres;fallecimiento;18.361
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;Mujeres;otras causas;2.043
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;Ambos sexos;total;19.358
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;Ambos sexos;curación o mejoría;18.106
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;Ambos sexos;traslado a otros centros;628
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;Ambos sexos;fallecimiento;459
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;Ambos sexos;otras causas;166
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;Hombres;total;9.851
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;Hombres;curación o mejoría;9.259
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;Hombres;traslado a otros centros;305
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;Hombres;fallecimiento;200
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;Hombres;otras causas;86
